entity,count,IUPACname,cid
ISOVALERATE,2,3-methylbutanoate,3587356
ISOUNDECYLIC ACID,2,11-methyldodecanoic acid,33002
ISOFLURANE,2,"2-chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane",3763
ISOASTILBIN,2,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-2,3-dihydrochromen-4-one",316844
ISO-C15:0,2,13-methyltetradecanoic acid,151014
ISOMANGIFERIN,2,"1,3,6,7-tetrahydroxy-4-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]xanthen-9-one",5318597
"ISOSORBIDE 5-MONONITRATE, ISMN",2,"[(3S,3aR,6R,6aS)-3-hydroxy-2,3,3a,5,6,6a-hexahydrofuro[3,2-b]furan-6-yl] nitrate",27661
METHACRYLIC ACID,2,2-methylprop-2-enoic acid,4093
METALDEHYDE,2,"2,4,6,8-tetramethyl-1,3,5,7-tetraoxocane",61021
MESNA,2,sodium;2-sulfanylethanesulfonate,23662354
"MES, 2-MORPHOLINOETHANESULFONIC ACID",2,2-morpholin-4-ylethanesulfonic acid,78165
MEQUINDOX,2,1-(3-methyl-4-oxido-1-oxoquinoxalin-1-ium-2-yl)ethanone,404291
METHB,2,7-oxabicyclo[4.1.0]heptan-3-ylmethyl 2-methylprop-2-enoate,14645478
METHYL PARATHION,2,dimethoxy-(4-nitrophenoxy)-sulfanylidene-lambda5-phosphane,4130
METHYL EUGENOL,2,"1,2-dimethoxy-4-prop-2-enylbenzene",7127
"METHYL CELLULOSE, METHYLCELLULOSE",2,"(5R)-2,3,4-trimethoxy-6-(methoxymethyl)-5-[(2S)-3,4,5-trimethoxy-6-(methoxymethyl)oxan-2-yl]oxyoxane",51063134
METHOCARBAMOL,2,[2-hydroxy-3-(2-methoxyphenoxy)propyl] carbamate,4107
MD,2,mendelevium,23943
MCB,2,chlorobenzene,7964
MC-LR,2,"(5R,8S,11R,12S,15S,18S,19S,22R)-15-[3-(diaminomethylideneamino)propyl]-18-[(5S,6S)-6-methoxy-3,5-dimethyl-7-phenylhepta-1,3-dienyl]-1,5,12,19-tetramethyl-2-methylidene-8-(2-methylpropyl)-3,6,9,13,16,20,25-heptaoxo-1,4,7,10,14,17,21-heptazacyclopentacosane-11,22-dicarboxylic acid",440645
MBF,2,"(2R,3S,4S,5S,6R)-3-fluoro-6-(hydroxymethyl)oxane-2,4,5-triol",445913
"MDMA, 3,4-METHYLENEDIOXYMETHAMPHETAMINE",2,"1-(1,3-benzodioxol-5-yl)-N-methylpropan-2-amine",1615
MK-801,2,"(1S,9R)-1-methyl-16-azatetracyclo[7.6.1.02,7.010,15]hexadeca-2,4,6,10,12,14-hexaene",180081
ML385,2,"2-(1,3-benzodioxol-5-yl)-N-[5-methyl-4-[1-(2-methylbenzoyl)-2,3-dihydroindol-5-yl]-1,3-thiazol-2-yl]acetamide",1383822
MK-7,2,"2-[(2E,6E,10E,14E,18E,22E)-3,7,11,15,19,23,27-heptamethyloctacosa-2,6,10,14,18,22,26-heptaenyl]-3-methylnaphthalene-1,4-dione",5287554
"MNBP, MONO-N-BUTYL PHTHALATE",2,2-butoxycarbonylbenzoic acid,8575
MK,2,(2S)-6-amino-2-[[(2S)-2-amino-4-methylsulfanylbutanoyl]amino]hexanoic acid,7016112
MOLYBDATE,2,dioxido(dioxo)molybdenum,24621
"MINOCYCLINE, MINO",2,"(4S,4aS,5aR,12aR)-4,7-bis(dimethylamino)-1,10,11,12a-tetrahydroxy-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide",54675783
MILTIRONE,2,"8,8-dimethyl-2-propan-2-yl-6,7-dihydro-5H-phenanthrene-3,4-dione",160142
METOPROLOL,2,1-[4-(2-methoxyethyl)phenoxy]-3-(propan-2-ylamino)propan-2-ol,4171
METOCLOPRAMIDE,2,4-amino-5-chloro-N-[2-(diethylamino)ethyl]-2-methoxybenzamide,4168
MG132,2,benzyl N-[(2S)-4-methyl-1-[[(2S)-4-methyl-1-[[(2S)-4-methyl-1-oxopentan-2-yl]amino]-1-oxopentan-2-yl]amino]-1-oxopentan-2-yl]carbamate,462382
MIFOBATE,2,[(4-chlorophenyl)-dimethoxyphosphorylmethyl] dimethyl phosphate,60910
MASLINIC ACID,2,"(4aS,6aR,6aS,6bR,8aR,10R,11R,12aR,14bS)-10,11-dihydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid",73659
LORATADINE,2,"ethyl 4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-ylidene)piperidine-1-carboxylate",3957
LN,2,4-amino-2-[(2-amino-4-methylpentanoyl)amino]-4-oxobutanoic acid,4128305
LM10,2,6-fluoro-3-[(E)-2-(2H-tetrazol-5-yl)ethenyl]-1H-indole,135743630
LPD,2,(2S)-pyrrolidine-2-carboxamide,111306
LIXISENATIDE,2,"(4S)-5-[[2-[[(2S,3R)-1-[[(2S)-1-[[(2S,3R)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-6-amino-1-[[(2S)-5-amino-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S,3S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-6-amino-1-[[(2S)-4-amino-1-[[2-[[2-[(2S)-2-[[(2S)-1-[[(2S)-1-[[2-[[(2S)-1-[(2S)-2-[(2S)-2-[[(2S)-1-[[(2S)-6-amino-1-[[(2S)-6-amino-1-[[(2S)-6-amino-1-[[(2S)-6-amino-1-[[(2S)-6-amino-1-[[(2S)-1,6-diamino-1-oxohexan-2-yl]amino]-1-oxohexan-2-yl]amino]-1-oxohexan-2-yl]amino]-1-oxohexan-2-yl]amino]-1-oxohexan-2-yl]amino]-1-oxohexan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]carbamoyl]pyrrolidine-1-carbonyl]pyrrolidin-1-yl]-1-oxopropan-2-yl]amino]-2-oxoethyl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]carbamoyl]pyrrolidin-1-yl]-2-oxoethyl]amino]-2-oxoethyl]amino]-1,4-dioxobutan-2-yl]amino]-1-oxohexan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-3-(1H-indol-3-yl)-1-oxopropan-2-yl]amino]-4-carboxy-1-oxobutan-2-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-1-oxo-3-phenylpropan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-5-carbamimidamido-1-oxopentan-2-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-1-oxopropan-2-yl]amino]-4-carboxy-1-oxobutan-2-yl]amino]-4-carboxy-1-oxobutan-2-yl]amino]-4-carboxy-1-oxobutan-2-yl]amino]-4-methylsulfanyl-1-oxobutan-2-yl]amino]-1,5-dioxopentan-2-yl]amino]-1-oxohexan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-3-carboxy-1-oxopropan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-hydroxy-1-oxobutan-2-yl]amino]-1-oxo-3-phenylpropan-2-yl]amino]-3-hydroxy-1-oxobutan-2-yl]amino]-2-oxoethyl]amino]-4-[[2-[[(2S)-2-amino-3-(1H-imidazol-4-yl)propanoyl]amino]acetyl]amino]-5-oxopentanoic acid",90472060
LIP,2,"[(2S,3R,5S,6S)-2,3,4,5,6-pentahydroxycyclohexyl] dihydrogen phosphate",440194
LIGNAN,2,"ethyl 6,7-dimethoxy-3-methyl-4-oxo-1-(3,4,5-trimethoxyphenyl)-2,3-dihydro-1H-naphthalene-2-carboxylate",261166
LIPOXIN B4,2,"(5S,6E,8Z,10E,12E,14R,15S)-5,14,15-trihydroxyicosa-6,8,10,12-tetraenoic acid",5280915
LITHIUM COBALT OXIDE,2,lithium;oxido(oxo)cobalt,23670860
LITHIUM OROTATE,2,"lithium;2,4-dioxo-1H-pyrimidine-6-carboxylate",23686432
LITHIUM SULFATE,2,dilithium;sulfate,66320
"MARVELON, APRI",2,"(8S,9S,10R,13S,14S,17R)-13-ethyl-17-ethynyl-11-methylidene-1,2,3,6,7,8,9,10,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-ol;(8R,9S,13S,14S,17R)-17-ethynyl-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthrene-3,17-diol",62957
MAGNETITE,2,hydroxy(oxo)iron;iron,14789
MAGNESIUM TRISILICATE,2,dimagnesium;dioxido-bis[[oxido(oxo)silyl]oxy]silane,5311266
MANIDIPINE,2,"5-O-[2-(4-benzhydrylpiperazin-1-yl)ethyl] 3-O-methyl 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",4008
MAPH,2,"bis(2,6-diphenylphenoxy)-methylalumane",16688300
LYSOLECITHIN,2,(3-hexadecanoyloxy-2-hydroxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,86554
"LYXOSE, D-LYXOSE",2,"(3S,4S,5R)-oxane-2,3,4,5-tetrol",439240
THIOL-ENE,2,"2,3-dihydrothiophene",136880
THIORIDAZINE,2,10-[2-(1-methylpiperidin-2-yl)ethyl]-2-methylsulfanylphenothiazine,5452
THIONINE,2,(7-aminophenothiazin-3-ylidene)azanium;chloride,65043
THIOGLYCOLIC ACID,2,2-sulfanylacetic acid,1133
"THIOCYANATE, SCN",2,thiocyanate,9322
TILIANIN,2,"5-hydroxy-2-(4-methoxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",5321954
"TETRATHIAFULVALENE, TTF",2,"2-(1,3-dithiol-2-ylidene)-1,3-dithiole",99451
TETRANOR 12-HETE,2,"(4Z,6E,8S,10Z)-8-hydroxyhexadeca-4,6,10-trienoic acid",15730832
TETRAHYDROXYSTILBENE GLUCOSIDE,2,"(2S,3R,4S,5S,6R)-2-[2,4-dihydroxy-6-[(E)-2-(4-hydroxyphenyl)ethenyl]phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",5321884
"THIAMINE DIPHOSPHATE, THDP",2,"2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethyl phosphono hydrogen phosphate",1132
THIACLOPRID,2,"[3-[(6-chloropyridin-3-yl)methyl]-1,3-thiazolidin-2-ylidene]cyanamide",115224
THF,2,oxolane,8028
THEAFLAVIN,2,"3,4,6-trihydroxy-1,8-bis[(2R,3R)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-2-yl]benzo[7]annulen-5-one",135403798
THC-COOH,2,"(6aR,10aR)-1-hydroxy-6,6-dimethyl-3-pentyl-6a,7,8,10a-tetrahydrobenzo[c]chromene-9-carboxylic acid",108207
TRACER,2,"15-[5-(dimethylamino)-6-methyloxan-2-yl]oxy-19-ethyl-14-methyl-7-(2,3,4-trimethoxy-5-methylcyclohexyl)oxy-20-oxatetracyclo[10.10.0.02,10.05,9]docosane-13,21-dione",91782
TPE,2,"[(2R,3S,5R)-2-[[hydroxy-[hydroxy(phenoxy)phosphoryl]oxyphosphoryl]oxymethyl]-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-3-yl] acetate",445181
TOPSIN-M,2,methyl N-[[2-(methoxycarbonylcarbamothioylamino)phenyl]carbamothioyl]carbamate,3032791
TRAMETINIB,2,"N-[3-[3-cyclopropyl-5-(2-fluoro-4-iodoanilino)-6,8-dimethyl-2,4,7-trioxopyrido[4,3-d]pyrimidin-1-yl]phenyl]acetamide",11707110
TNZ,2,6-chloro-2-methoxy-4-phenylquinazoline,742338
TOCOLS,2,"(2R)-2-methyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol",58866062
TOF,2,tris(2-ethylhexyl) phosphate,6537
TOLBUTAMIDE,2,1-butyl-3-(4-methylphenyl)sulfonylurea,5505
TETRAHYDROPALMATINE,2,"2,3,9,10-tetramethoxy-6,8,13,13a-tetrahydro-5H-isoquinolino[2,1-b]isoquinoline",5417
SUN,2,"4H-furo[3,2-b]pyrrole-5-carboxylic acid",7141881
SWIETENINE,2,"[(1R,2S,5R,6R,10S,13S,14R,16S)-6-(furan-3-yl)-16-[(1R)-1-hydroxy-2-methoxy-2-oxoethyl]-1,5,15,15-tetramethyl-8,17-dioxo-7-oxatetracyclo[11.3.1.02,11.05,10]heptadec-11-en-14-yl] (E)-2-methylbut-2-enoate",14262276
SWR,2,2-[[2-[(2-amino-3-hydroxypropanoyl)amino]-3-(1H-indol-3-yl)propanoyl]amino]-5-(diaminomethylideneamino)pentanoic acid,18224114
SULFACETAMIDE,2,N-(4-aminophenyl)sulfonylacetamide,5320
SULFACLOZINE,2,4-amino-N-(6-chloropyrazin-2-yl)benzenesulfonamide,66890
SULFAMIC ACID,2,sulfamic acid,5987
SULFAMONOMETHOXINE,2,4-amino-N-(6-methoxypyrimidin-4-yl)benzenesulfonamide,5332
TENOFOVIR DISOPROXIL,2,[[(2R)-1-(6-aminopurin-9-yl)propan-2-yl]oxymethyl-(propan-2-yloxycarbonyloxymethoxy)phosphoryl]oxymethyl propan-2-yl carbonate,5481350
TELAPREVIR,2,"(3S,3aS,6aR)-2-[(2S)-2-[[(2S)-2-cyclohexyl-2-(pyrazine-2-carbonylamino)acetyl]amino]-3,3-dimethylbutanoyl]-N-[(3S)-1-(cyclopropylamino)-1,2-dioxohexan-3-yl]-3,3a,4,5,6,6a-hexahydro-1H-cyclopenta[c]pyrrole-3-carboxamide",3010818
TERT-BUTYL HYDROPEROXIDE,2,2-hydroperoxy-2-methylpropane,6410
TETRACOSATETRAENOIC ACID,2,"(2E,4E,6E,8E)-tetracosa-2,4,6,8-tetraenoic acid",6440264
TETRACHLOROAURIC ACID,2,hydron;tetrachlorogold(1-),28133
TETRABUTYLAMMONIUM BROMIDE,2,tetrabutylazanium;bromide,74236
"TERT-BUTANOL, TBU",2,2-methylpropan-2-ol,6386
TERBUFOS,2,tert-butylsulfanylmethylsulfanyl-diethoxy-sulfanylidene-lambda5-phosphane,25670
TARTARIC ACID,2,"2,3-dihydroxybutanedioic acid",875
TAPT,2,[4-[[5-[(2S)-2-amino-2-carboxyethyl]-2-hydroxyphenyl]diazenyl]phenyl]-trimethylazanium;chloride,170030
TAK 242,2,ethyl (6R)-6-[(2-chloro-4-fluorophenyl)sulfamoyl]cyclohexene-1-carboxylate,11703255
TRIAZINE,2,triazine,123047
TRIAZOLE,2,2H-triazole,67516
"VX-765, BELNACASAN",2,"(2S)-1-[(2S)-2-[(4-amino-3-chlorobenzoyl)amino]-3,3-dimethylbutanoyl]-N-[(2R,3S)-2-ethoxy-5-oxooxolan-3-yl]pyrrolidine-2-carboxamide",11398092
VITEXILACTONE,2,"[(1R,3R,4R,4aS,8aS)-4-hydroxy-3,4a,8,8-tetramethyl-4-[2-(5-oxo-2H-furan-3-yl)ethyl]-2,3,5,6,7,8a-hexahydro-1H-naphthalen-1-yl] acetate",21636178
VITAMIN-E,2,"calcium;butanedioate;(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol",69540411
WORTMANNIN,2,"[(1R,3R,5S,9R,18S)-18-(methoxymethyl)-1,5-dimethyl-6,11,16-trioxo-13,17-dioxapentacyclo[10.6.1.02,10.05,9.015,19]nonadeca-2(10),12(19),14-trien-3-yl] acetate",312145
WC,2,2-[[2-amino-3-(1H-indol-3-yl)propanoyl]amino]-3-sulfanylpropanoic acid,19762195
WHR,2,2-[[2-[[2-amino-3-(1H-indol-3-yl)propanoyl]amino]-3-(1H-imidazol-5-yl)propanoyl]amino]-5-(diaminomethylideneamino)pentanoic acid,18231616
WCS,2,6-[4-[3-(dimethylamino)propoxy]phenyl]-2-methylsulfonyl-N-(3-pyrazol-1-ylpropyl)pyrimidin-4-amine,137796292
VESICARE,2,"[(3R)-1-azabicyclo[2.2.2]octan-3-yl] (1S)-1-phenyl-3,4-dihydro-1H-isoquinoline-2-carboxylate;butanedioic acid",216457
VERAPAMIL,2,"2-(3,4-dimethoxyphenyl)-5-[2-(3,4-dimethoxyphenyl)ethyl-methylamino]-2-propan-2-ylpentanenitrile",2520
VICENIN-1,2,"5,7-dihydroxy-2-(4-hydroxyphenyl)-8-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-6-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]chromen-4-one",13644663
VICENIN-2,2,"5,7-dihydroxy-2-(4-hydroxyphenyl)-6,8-bis[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one",442664
VICENIN-3,2,"5,7-dihydroxy-2-(4-hydroxyphenyl)-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-8-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]chromen-4-one",185958
ZINC CHLORIDE,2,dichlorozinc,5727
ZINC ACETATE,2,zinc;diacetate,11192
ZFR,2,"(E,10S)-1-(3,5-dihydroxyphenyl)-10-hydroxyundec-1-en-6-one",101224147
ZUF,2,"N-(5-chloropyridin-2-yl)-4-pyridin-2-yl-1,3-thiazol-2-amine",973099
ZNFE2O4,2,hydroxy(oxo)iron;zinc,11831558
"XANTHINE SODIUM SALT, XANTHINE SODIUM",2,"sodium;3H-purin-7-ide-2,6-dione",14403145
XANTHINE OXIDE,2,"1-oxido-3,7-dihydropurin-1-ium-2,6-dione",22342395
XYLENE,2,"1,2-xylene",7237
XYMEDON,2,"1-(2-hydroxyethyl)-4,6-dimethylpyrimidin-2-one",121931
Y-27632,2,4-[(1R)-1-aminoethyl]-N-pyridin-4-ylcyclohexane-1-carboxamide,448042
YOHIMBE,2,"methyl (1S,15R,18S,19R,20S)-18-hydroxy-1,3,11,12,14,15,16,17,18,19,20,21-dodecahydroyohimban-19-carboxylate;hydrochloride",6169
YTTRIUM OXIDE,2,oxygen(2-);yttrium(3+),159374
YTTRIUM-90,2,yttrium-90,104760
VAP,2,"6,7,8-trimethoxy-1,4-dimethylquinolin-2-one",42618033
TWE,2,1-[4-(aminomethyl)benzoyl]piperidine-4-carbonitrile,155923490
TTIP,2,propan-2-olate;titanium(4+),11026
TT4,2,"1-phenyl-1,2,4-triazole-3,5-diamine",98510
TT3,2,"1-N,3-N,5-N-tris(4-dodecylhexadecyl)benzene-1,3,5-tricarboxamide",163196448
TXA2,2,"(Z)-7-[(1S,3R,4S,5S)-3-[(E,3S)-3-hydroxyoct-1-enyl]-2,6-dioxabicyclo[3.1.1]heptan-4-yl]hept-5-enoic acid",5280497
TYROSINE KINASE INHIBITOR,2,"1-N'-(4-fluorophenyl)-1-N-[4-[[2-(2-morpholin-4-ylethylcarbamoyl)-1H-pyrrolo[2,3-b]pyridin-4-yl]oxy]phenyl]cyclopropane-1,1-dicarboxamide",24956525
TRIMETAZIDINE,2,"1-[(2,3,4-trimethoxyphenyl)methyl]piperazine",21109
TRICHLOROACETONITRILE,2,"2,2,2-trichloroacetonitrile",11011
TRIMETHYLURIC ACID,2,"1,3,4-trimethyl-9H-purine-2,6,8-trione",89514338
TRITHIOCYANURIC ACID,2,"1,3,5-triazinane-2,4,6-trithione",1268121
TRYPAN BLUE,2,"tetrasodium;5-amino-3-[[4-[4-[(8-amino-1-hydroxy-3,6-disulfonatonaphthalen-2-yl)diazenyl]-3-methylphenyl]-2-methylphenyl]diazenyl]-4-hydroxynaphthalene-2,7-disulfonate",6296
UAA,2,"2-(2,4-dioxo-1H-pyrimidin-6-yl)acetic acid",73271
UTS,2,1-benzylbenzimidazole,563347
UTP,2,"[[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",6133
URS,2,phenylthiourea,676454
UWP,2,"2-[3-[4-[6-(1-methylpyrazol-4-yl)-1H-pyrazolo[1,5-a]pyrazin-8-ium-4-yl]pyrazol-1-yl]-1-(2,2,2-trifluoroethyl)azetidin-3-yl]acetonitrile",155289124
VANADATE,2,oxido(dioxo)vanadium,26218
ULA,2,"(9E,14E,16R,20S,21R,22S,24E)-16-hydroxy-22-methoxy-20-[(2S,3S)-2-methoxy-3-methyl-6-oxooctyl]-10,21-dimethyl-3,7,19,27-tetraoxa-29,30,31-triazatetracyclo[24.2.1.12,5.16,9]hentriaconta-1(28),2(31),6(30),9,14,24,26(29)-heptaene-12,18-dione",11987781
UIO-66-NH2,2,2-aminoterephthalate;oxygen(2-);zirconium(4+);tetrahydroxide,145926334
UCG,2,"[(3aR,4R,6R,6aR)-4-(2-amino-6-oxo-1H-purin-9-yl)-2-hydroxy-2-oxo-3a,4,6,6a-tetrahydrofuro[3,4-d][1,3,2]dioxaphosphol-6-yl]methyl [(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-4-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] hydrogen phosphate",135566941
UMA,2,"(2S)-2-[[(2R)-2-[(2R,3R,4R,5S,6R)-3-acetamido-2-[[[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoyl]amino]propanoic acid",5496796
"UPROLESELAN, GMI-1271",2,"(2S)-2-[(2R,3R,4R,5R,6R)-3-acetamido-2-[(1R,2R,3S,5R)-3-ethyl-5-[2-[3-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-(2-methoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]propanoylamino]ethylcarbamoyl]-2-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxycyclohexyl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-3-cyclohexylpropanoic acid",71600085
PYRIDINES,2,4-chloropyridin-2-amine,581866
PXDN,2,"(2R,3S,5R)-2-[(9-phenylxanthen-9-yl)oxymethyl]-5-purin-9-yloxolan-3-ol",195062
"PYRIDOXIC ACID, 4-PYRIDOXIC ACID",2,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid,6723
PYROCATECHOL VIOLET,2,"4-[3-(3,4-dihydroxyphenyl)-1,1-dioxo-2,1lambda6-benzoxathiol-3-yl]benzene-1,2-diol",66993
PVI,2,"(3S,4R,5R)-3-amino-4,5-dihydroxycyclohexene-1-carboxylic acid",4369345
"PSEUDOURIDINE, PSEUDO URIDINE",2,"5-[(2S,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-pyrimidine-2,4-dione",15047
PUNICALIN,2,"(10S,11R,12R,15R)-3,4,5,11,12,13,21,22,23,26,27,38,39-tridecahydroxy-9,14,17,29,36-pentaoxaoctacyclo[29.8.0.02,7.010,15.019,24.025,34.028,33.032,37]nonatriaconta-1(39),2,4,6,19,21,23,25,27,31,33,37-dodecaene-8,18,30,35-tetrone",92131301
PUNICALAGIN,2,"(1R,35R,38R,55S)-6,7,8,11,12,23,24,27,28,29,37,43,44,45,48,49,50-heptadecahydroxy-2,14,21,33,36,39,54-heptaoxaundecacyclo[33.20.0.04,9.010,19.013,18.016,25.017,22.026,31.038,55.041,46.047,52]pentapentaconta-4,6,8,10,12,16,18,22,24,26,28,30,41,43,45,47,49,51-octadecaene-3,15,20,32,40,53-hexone",44584733
PUERARIN APIOSIDE,2,"8-[(2S,3R,4R,5S,6R)-6-[[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]-7-hydroxy-3-(4-hydroxyphenyl)chromen-4-one",21676217
QT,2,"2-[(2,5-diamino-5-oxopentanoyl)amino]-3-hydroxybutanoic acid",18218212
RESORUFIN,2,7-hydroxyphenoxazin-3-one,69462
RFH,2,"[(1E,3S,4R,5S,6R,7R,8R,9S,10S,11E,13E)-15-amino-1-[(2S)-8-(aminomethyl)-5,6,7,9-tetrahydroxy-2,4-dimethyl-1-oxobenzo[e][1]benzofuran-2-yl]oxy-7,9-dihydroxy-3-methoxy-4,6,8,10,14-pentamethyl-15-oxopentadeca-1,11,13-trien-5-yl] acetate",132992918
RF,2,rutherfordium,56951715
RHUBARB,2,"anthracene-9,10-dione;[3,5-dihydroxy-4,6-bis[(3,4,5-trihydroxybenzoyl)oxy]oxan-2-yl]methyl 3,4,5-trihydroxybenzoate;3,8-dihydroxy-1-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyanthracene-9,10-dione",11980951
"RHODAMINE B, RHODAMINE",2,[9-(2-carboxyphenyl)-6-(diethylamino)xanthen-3-ylidene]-diethylazanium;chloride,6694
RHEPO,2,"(4R,5S,6S,7R,9R,10R,11E,13E,16R)-10-[(2R,4R,5S,6S)-4,5-dihydroxy-4,6-dimethyloxan-2-yl]oxy-6-[(2S,3R,4R,5S,6R)-5-[(2R,4R,5S,6S)-4,5-dihydroxy-4,6-dimethyloxan-2-yl]oxy-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-7-(2-hydroxyethyl)-5-methoxy-9,16-dimethyl-1-oxacyclohexadeca-11,13-dien-2-one",92043599
REBAMIPIDE,2,2-[(4-chlorobenzoyl)amino]-3-(2-oxo-1H-quinolin-4-yl)propanoic acid,5042
RAMIPRIL,2,"(2S,3aS,6aS)-1-[(2S)-2-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino]propanoyl]-3,3a,4,5,6,6a-hexahydro-2H-cyclopenta[b]pyrrole-2-carboxylic acid",5362129
PLUMBAGIN,2,"5-hydroxy-2-methylnaphthalene-1,4-dione",10205
PLP,2,(4-formyl-5-hydroxy-6-methylpyridin-3-yl)methyl dihydrogen phosphate,1051
PLASMA-LYTE A,2,"magnesium;potassium;trisodium;(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoate;acetate;tetrachloride;nonahydrate",56841986
PM2,2,[4-[3-(aminomethyl)phenyl]piperidin-1-yl]-[5-(2-phenylethyl)pyridin-3-yl]methanone,657077
POTASSIUM CHLORATE,2,potassium;chlorate,6426889
PKU,2,4-bromo-N-methyl-1H-pyrrole-2-carboxamide,2766364
PHYTOFLUENE,2,"(6E,10E,12E,14E,16E,18E,22E,26E)-2,6,10,14,19,23,27,31-octamethyldotriaconta-2,6,10,12,14,16,18,22,26,30-decaene",6436722
"PICOLINIC ACID, 2-PICOLINIC ACID",2,pyridine-2-carboxylic acid,1018
PICEATANNOL,2,"4-[(E)-2-(3,5-dihydroxyphenyl)ethenyl]benzene-1,2-diol",667639
PIROXICAM,2,"4-hydroxy-2-methyl-1,1-dioxo-N-pyridin-2-yl-1lambda6,2-benzothiazine-3-carboxamide",54676228
PHYTOENE,2,"(6E,10E,14E,16E,18E,22E,26E)-2,6,10,14,19,23,27,31-octamethyldotriaconta-2,6,10,14,16,18,22,26,30-nonaene",5280784
